description,amount,category
UPI: Rs 4329 to cultfit@axl for purchase,4329.14,health_fitness
ICICI CC: Anytime Fitness Rs 4876,4875.81,health_fitness
SBI: Rs.498.70 paid to Jaipur Water via UPI Ref 139442778,498.7,bills_water
Salary for Jun - Rs 196589 from Google India,196588.86,salary
Tata Capital EMI: EMI Rs 3852 debited,3851.57,emi
sbi: rs.44686/- paid to coursera via upi ref 321009450,44685.61,education
"PNB Debit: Rs 8,456.61 to metroshoes@sbi UPI",8456.61,shopping_offline
Axis UPI: Rs 1987/- to nefttransfer@hdfcbank,1987.14,other
"PNB CC: DTDC Rs 9,105",9104.83,other
Canara Alert: INR 50633 spent at Toptal,50633.28,freelance
"HDFC Debit: Rs 40,437.27 to consultingfe@axisbank UPI",40437.27,freelance
"axis cc: narayana health rs 18,239.44",18239.44,health_medical
Microsoft 365 - Rs.1231/- paid via UPI,1230.8,subscription
"Canara Credit: Rs 266,150 NEFT-Tata Motors-SALARY",266149.64,salary
BOB Alert: INR 73484 spent at 99designs,73483.67,freelance
IndusInd: Rs 4925 debited from a/c **4811 for The Quad,4925.16,health_fitness
kotak cc: vi vodafone rs 202/-,202.26,bills_telecom
"Axis UPI: Rs 1,638 to thaispa@okhdfcbank",1638.42,personal_care
PhonePe: Rs 138/- paid to PCMC Water,137.64,bills_water
"Loan EMI Rs 23,002 paid to HDFC Home Loan",23001.9,emi
BOB Debit: Rs 248 to mcdonalds@kotak UPI,248.2,food_delivery
"Axis: Rs 27,141.49 NEFT to Office rent",27141.49,rent
Kotak: Rs 1694 debited from a/c **9279 for Carnival Cinemas,1694.03,entertainment
"sip debit rs 11,393 motilal oswal folio",11393.34,investment
"ICICI UPI: RS 1,204 TO DRYCLEANING@KOTAK",1204.26,other
"Loan EMI Rs 18,167 paid to Bajaj Auto Finance",18166.92,emi
Kotak Debit: Rs 1312/- to hpgas@icici UPI,1312.4,transport_fuel
client payment - rs.97858/- paid via upi,97857.92,freelance
"PNB CC: IRCTC Rs 7,539",7538.53,travel
PNB SMS: INR 550 debited UPI txn to reliancepetr@icici,549.83,transport_fuel
Payment of Rs 595 to O2 Spa successful,595.3,personal_care
"Investment: Rs 88,784.63 to Axis MF via UPI",88784.63,investment
"Auto debit Rs 20,248 Samsung Finance loan account",20247.53,emi
Loan EMI Rs 43496 paid to IDFC First EMI,43495.68,emi
SBI: Rs.1872 paid to HMWSSB via UPI Ref 935139248,1872.48,bills_water
"rent to owner payment rs 48,763 for mar",48763.36,rent
"Investment: Rs 86,899.26 to ET Money via UPI",86899.26,investment
PhonePe: Rs 2044 paid to WBSEDCL,2043.54,bills_electricity
"Rs 6,043.87/- debited MSEDCL Yes Bank",6043.87,bills_electricity
"HDFC Alert: INR 2,300.24 spent at Anytime Fitness",2300.24,health_fitness
UPI: RS 1632/- TO HEADSPACE@ICICI FOR PURCHASE,1632.44,subscription
CARD **9279 used at DishTV for Rs.973.51,973.51,bills_telecom
"Rent transfer Rs 16,472 to landlord",16471.85,rent
Angel One: SIP of Rs 51337 debited,51337.35,investment
"Narayana Health - Rs.10,845 paid via UPI",10844.74,health_medical
"Rs 8,693/- debited Toll Plaza PNB",8692.61,other
Axis UPI: Rs 2124 to jiomart@sbi,2123.5,groceries
Rs 851/- debited Ola Auto Yes Bank,850.54,transport_ride
"Axis: Rs 4,401 debited from a/c **1409 for Shell",4400.87,transport_fuel
Kotak UPI: Rs 434/- to jiofiber@okhdfcbank,434.3,bills_telecom
"Allen Solly - Rs.16,044 paid via UPI",16043.75,shopping_offline
"IndusInd CC: IGP Rs 7,548",7547.97,gifts
"PNB CC: Allen Solly Rs. 5,384",5383.64,shopping_offline
Paid Rs 504 to LinkedIn Premium via GPay,503.56,subscription
"HDFC: Rs 36,660.32 debited from a/c **4657 for design work",36660.32,freelance
"Printing - Rs.1,119 paid via UPI",1118.99,other
"Rent transfer Rs 25,265.14 to landlord",25265.14,rent
"Payment of Rs 48,181 to Great Learning successful",48180.6,education
"SBI: RS 12,550.25 NEFT TO ROOM RENT",12550.25,rent
SBI Debit: Rs 459 to mcdonalds@ybl UPI,458.86,food_delivery
Paid Rs 730 to Zepto via GPay,730.45,groceries
"INDUSIND: RS 26,356.34 NEFT TO FLAT RENT",26356.34,rent
ICICI CC: HP Gas Rs 440,440.38,transport_fuel
"PhonePe: Rs 19,518.45 paid to FabIndia",19518.45,shopping_offline
IndusInd Debit: Rs 1442 to essarpetrol@okaxis UPI,1441.53,transport_fuel
UPI: Rs 32328/- to consultingfe@paytm for purchase,32327.96,freelance
"Vedantu - Rs.28,383.25 paid via UPI",28383.25,education
CARD **2824 used at Guru.com for Rs.10439/-,10438.52,freelance
"Rs 7,924.49/- debited Fortis Hospital IndusInd",7924.49,health_medical
Canara: Rs 996 debited from a/c **4257 for Salon,996.46,personal_care
"Canara: Rs 1,693 debited for Amazon Fresh purchase",1692.74,groceries
"CARD **4582 used at CESC for Rs.1,637",1637.08,bills_electricity
ICICI UPI: Rs 696 to medanta@axl,695.89,health_medical
"PNB Alert: INR 1,837 spent at Jio Fiber",1837.31,bills_telecom
"HDFC: Rs 34,906 NEFT to Rent to owner",34906.25,rent
HDFC: Rs 1221/- debited for Total Energies purchase,1221.25,transport_fuel
"Canara UPI: Rs 13,070 to srldiagnosti@paytm",13070.26,health_medical
"SBI: Rs 159,069 credited - Salary from Amazon India",159069.45,salary
Yes Bank: Rs 68511/- debited for HDFC MF MF purchase,68510.8,investment
CARD **9928 used at ACT Fibernet for Rs.1565,1564.68,bills_telecom
"Kotak UPI: Rs 1,453.51 to bharatpetrol@axl",1453.51,transport_fuel
IndusInd: Rs. 242 debited for BWSSB purchase,242.27,bills_water
Payment of Rs 26598 to OYO successful,26597.8,travel
IndusInd Alert: INR 576/- spent at ChatGPT Plus,576.43,subscription
"PNB: Rs 3,013 debited for Miscellaneous purchase",3013.21,other
ICICI: RS.20472 PAID TO OYO VIA UPI REF 414752120,20471.7,travel
"Salary for Feb - Rs 211,470.66 from TCS",211470.66,salary
IndusInd: Rs 737 debited from a/c **9928 for WheelsEye,736.91,transport_ride
"Canara UPI: Rs 13,799.30 to reliancetren@axl",13799.3,shopping_offline
Paid Rs 842.63 to Bharat Petroleum via GPay,842.63,transport_fuel
"paid rs 14,405.40 to reliance digital via gpay",14405.4,shopping_online
"Canara Alert: INR 1,805 spent at JioCinema",1805.28,entertainment
SBI: Rs.5288/- paid to CSPDCL via UPI Ref 637220565,5288.27,bills_electricity
"Google One - Rs.1,426.57 paid via UPI",1426.57,subscription
"AUTO DEBIT RS 43,579.17 AXIS CAR LOAN LOAN ACCOUNT",43579.17,emi
SBI CC: Purplle Rs 403.25,403.25,shopping_online
CARD **2424 used at TATA Power for Rs.951,951.31,bills_electricity
payment of rs 1176/- to microsoft 365 successful,1175.92,subscription
"Rs 30,206.42/- debited upGrad BOB",30206.42,education
Kotak: Rs 1035/- debited for Oven Story purchase,1034.64,food_delivery
Kotak EMI: EMI Rs 20620/- debited,20620.27,emi
"paid rs 2,203.89 to essar petrol via gpay",2203.89,transport_fuel
"indusind sms: inr 87,679 debited upi txn to consultingfe@sbi",87678.54,freelance
"ICICI: Rs 19,172.13 debited for IDFC First EMI EMI",19172.13,emi
"hdfc debit: rs 5,898.23 to abhibus@axisbank upi",5898.23,travel
IndusInd CC: Canva Pro Rs 884/-,883.9,subscription
rent transfer rs 40859/- to landlord,40858.68,rent
Yes Bank CC: BESCOM Rs 6499/-,6498.59,bills_electricity
"Kotak: Rs 9,637 debited for Noise purchase",9636.82,shopping_online
Kotak CC: Auto Rickshaw Rs 2423,2423.38,transport_ride
Kotak: Rs 417 debited from a/c **4657 for Delhi Jal Board,417.18,bills_water
"PNB CC: Westside Rs 18,378.93",18378.93,shopping_offline
"CARD **2824 used at Airtel Xstream for Rs.1,548.57",1548.57,bills_telecom
"Nykaa - Rs.11,728 paid via UPI",11728.29,shopping_online
PNB: Rs 252 debited for PCMC Water purchase,252.03,bills_water
"PNB: RS 20,860 NEFT TO LANDLORD",20859.76,rent
Canara: Rs.849 paid to Uber Moto via UPI Ref 180195016,849.32,transport_ride
"Axis SMS: INR 13,235 debited UPI txn to allensolly@paytm",13235.13,shopping_offline
Axis: Rs 405/- debited for Delhi Jal Board purchase,404.59,bills_water
HDFC: Rs 6696/- debited from a/c **1488 for MSEDCL,6695.63,bills_electricity
CARD **1520 used at Dr Lal PathLabs for Rs.19917/-,19916.81,health_medical
"PhonePe: Rs 22,585.45 paid to Air India",22585.45,travel
upi: rs 884.87 to spectra@okhdfcbank for purchase,884.87,bills_telecom
Hero FinCorp: EMI Rs 49284 debited,49284.32,emi
"IndusInd: Rs. 49,340 NEFT to Flat rent",49339.87,rent
"UPI: Rs 2,041 to indianoil@axl for purchase",2041.04,transport_fuel
CARD **4657 used at Guru.com for Rs.24602,24601.68,freelance
UPI: Rs 175/- to canvapro@ybl for purchase,175.04,subscription
"PhonePe: Rs 38,044 paid to Vedantu",38043.75,education
IndusInd Debit: Rs 1458 to lucknowjalni@icici UPI,1458.35,bills_water
"Axis Debit: Rs 3,956 to jiomart@sbi UPI",3956.19,groceries
Payment of Rs 288 to Printing successful,288.46,other
CARD **5012 used at Printing for Rs.7085,7085.45,other
BOB SMS: INR 699.30 debited UPI txn to pvr@icici,699.3,entertainment
"Society maintenance payment Rs 22,199.96 for Jul",22199.96,rent
Rs 235/-/- debited Haircut IndusInd,234.76,personal_care
HDFC: RS.2087 PAID TO PVR VIA UPI REF 847088874,2086.6,entertainment
"RS 20,907.96/- DEBITED ALLEN CAREER KOTAK",20907.96,education
Payment of Rs 480.09 to KFC successful,480.09,food_delivery
"PhonePe: Rs 2,219.02 paid to Spa",2219.02,personal_care
"Rent transfer Rs 45,792.75 to landlord",45792.75,rent
Naturals Salon - Rs.634/- paid via UPI,634.24,personal_care
"Monthly salary credit INR 297,714 Amazon India",297714.44,salary
Monthly rent Rs 41352/- paid via UPI,41352.44,rent
UPI: Rs 256 to nammayatri@kotak for purchase,256.41,transport_ride
indusind: rs.3195 paid to amazon.in via upi ref 750162509,3194.76,shopping_online
"PhonePe: Rs. 1,385 paid to Reliance Trends",1384.76,shopping_offline
"IndusInd Alert: INR 20,302.46 spent at IRCTC",20302.46,travel
"PhonePe: Rs. 45,364.20 paid to client payment",45364.2,freelance
CARD **5012 used at Coding Ninjas for Rs.9471/-,9471.29,education
"PhonePe: Rs 1,086.80 paid to Lakme Salon",1086.8,personal_care
"PhonePe: Rs 1,264.63 paid to Dropbox",1264.63,subscription
Paid Rs 7961/- to Purplle via GPay,7960.87,shopping_online
"SBI CC: BSES Rajdhani Rs 7,541.92",7541.92,bills_electricity
"BOB: RS.2,800.96 PAID TO MSEDCL VIA UPI REF 759787964",2800.96,bills_electricity
"Paid Rs. 5,353 to IGP via GPay",5353.42,gifts
"UPI: Rs 23,064.61 to thyrocare@okaxis for purchase",23064.61,health_medical
BOB UPI: Rs 930/- to laundry@ybl,929.89,other
Salary credited Rs 291198 from Amazon India,291198.14,salary
BOB Alert: INR 2314 spent at Rapido,2314.12,transport_ride
Paid Rs 787.53 to Netflix via GPay,787.53,entertainment
"Auto debit Rs 16,500 Tata Capital EMI loan account",16500.18,emi
Payment of Rs 757.04 to Biryani Blues successful,757.04,food_delivery
"RS 11,856/- DEBITED DR LAL PATHLABS AXIS",11855.54,health_medical
UPI: Rs 1221 to notion@hdfcbank for purchase,1220.94,subscription
SBI: Rs.3805/- paid to H&M via UPI Ref 755306663,3805.21,shopping_offline
Salary credited Rs 286601/- from Bajaj Auto,286601.0,salary
"CARD **2424 used at CrossFit for Rs.2,408",2408.07,health_fitness
Salary credited Rs 247984/- from Amazon India,247983.69,salary
Carnival Cinemas - Rs.162.44 paid via UPI,162.44,entertainment
"Canara CC: JioMart Rs 4,270.19",4270.19,groceries
"PhonePe: Rs 11,332.50 paid to boAt",11332.5,shopping_online
sip debit rs 87536/- et money folio,87535.96,investment
Paid Rs 17249 to Netmeds via GPay,17249.05,health_medical
"SBI SMS: INR 4,380 debited UPI txn to thequad@hdfcbank",4379.76,health_fitness
CARD **1434 USED AT METRO CASH FOR RS.3979/-,3979.14,groceries
YES BANK ALERT: INR 673 SPENT AT YOUTUBE PREMIUM,673.1,entertainment
"Canara Alert: INR 1,052.40 spent at Porter",1052.4,transport_ride
Canara Alert: INR 605 spent at Airtel,604.64,bills_telecom
"UPI: Rs 11,051 to reliancedigi@okaxis for purchase",11051.19,shopping_online
"SBI Alert: INR 5,161 spent at NEFT Transfer",5160.52,other
"SIP debit Rs. 66,568.83 ICICI Direct folio",66568.83,investment
"Auto debit Rs 11,793.93 SBI Home Loan loan account",11793.93,emi
"Canara UPI: Rs 3,482 to moresupermar@axisbank",3482.18,groceries
rs 25269/- debited treebo axis,25268.78,travel
Paid Rs 1665/- to Easy Day via GPay,1664.65,groceries
"loan emi rs 17,132.25 paid to bajaj auto finance",17132.25,emi
PNB: Rs 637 debited for Excitel purchase,637.22,bills_telecom
UPI: Rs 4421 to tatapower@hdfcbank for purchase,4420.83,bills_electricity
"Yes Bank CC: CESC Rs 1,174.75",1174.75,bills_electricity
"Axis UPI: Rs 18,815 to vedantu@okaxis",18815.42,education
Axis UPI: Rs 184.03 to box8@hdfcbank,184.03,food_delivery
"Salary credited Rs 59,715 from Cognizant",59714.66,salary
"Loan EMI Rs 45,376 paid to Bajaj Auto Finance",45376.01,emi
"PhonePe: Rs 66,086.83 paid to 99designs",66086.83,freelance
"UPI: Rs 3,839.57 to nayaraenergy@axisbank for purchase",3839.57,transport_fuel
CARD **2424 used at Dropbox for Rs.1389,1388.87,subscription
Axis CC: Swiggy Rs 512,511.5,food_delivery
"PhonePe: Rs 1,804.64 paid to MTNL",1804.64,bills_telecom
PhonePe: Rs 9092/- paid to Courier,9091.66,other
"PNB: RS.11,758.42 PAID TO RELIANCE DIGITAL VIA UPI REF 583493761",11758.42,shopping_online
HDFC: RS.583 PAID TO RELIANCE TRENDS VIA UPI REF 589824472,582.99,shopping_offline
Paid Rs 7168 to Torrent Power via GPay,7167.93,bills_electricity
Rs 925/- debited Burger King Yes Bank,924.96,food_delivery
"Kuvera - Rs 32,360 invested in mutual fund",32360.27,investment
"ICICI: Rs.8,575 paid to MakeMyTrip via UPI Ref 836929662",8574.99,travel
ICICI: Rs..19870/- paid to Unacademy via UPI Ref 168343004,19869.94,education
Payment of Rs 348 to Zepto successful,347.97,groceries
"SOCIETY MAINTENANCE PAYMENT RS 35,829 FOR JAN",35828.73,rent
Paid Rs 4082 to Thai Spa via GPay,4082.49,personal_care
yes bank upi: rs 4875/- to amazonfresh@sbi,4875.28,groceries
"Kotak UPI: Rs 3,062.85 to sparhypermar@axisbank",3062.85,groceries
UPI: Rs 21144/- to contentwriti@paytm for purchase,21143.77,freelance
UPI: Rs 2400/- to indrive@icici for purchase,2400.28,transport_ride
Hathway - Rs.928.03 paid via UPI,928.03,bills_telecom
"Paid Rs 2,756.64 to Amazon Fresh via GPay",2756.64,groceries
Kotak Debit: Rs. 6194/- to diwaligift@axl UPI,6193.9,gifts
"CARD **9279 used at GeeksforGeeks for Rs.36,524.14",36524.14,education
Yes Bank: Rs 15218 NEFT to House rent,15218.12,rent
"Paid Rs. 37,225 to Airbnb via GPay",37225.38,travel
PhonePe: Rs 235/- paid to Tikona,235.4,bills_telecom
"Payment of Rs 2,515 to O2 Spa successful",2514.82,personal_care
"HDFC: Rs 2,511 debited from a/c **2679 for Max Fashion",2510.96,shopping_offline
"Monthly salary credit INR 280,963 L&T",280962.83,salary
"Axis UPI: Rs 1,914.26 to reliancepetr@hdfcbank",1914.26,transport_fuel
"Wedding gift - Rs.2,291.75 paid via UPI",2291.75,gifts
BOB: RS 1696/- DEBITED FOR DROPBOX PURCHASE,1695.63,subscription
CARD **1434 used at Parking for Rs.3729,3728.83,other
ICICI Debit: Rs 1801/- to excitel@okaxis UPI,1800.88,bills_telecom
ICICI: RS 9799/- DEBITED FOR BOAT PURCHASE,9798.93,shopping_online
"Canara UPI: Rs 15,979.09 to medplus@axl",15979.09,health_medical
Kotak: Rs.7806/- paid to Courier via UPI Ref 616589157,7805.9,other
HDFC Debit: Rs 650 to uber@axisbank UPI,649.6,transport_ride
"Paid Rs 43,644 to Vistara via GPay",43643.65,travel
"ICICI: Rs 3,575.72 debited for Adani Electricity purchase",3575.72,bills_electricity
IndusInd: Rs 175.13 debited for Airtel purchase,175.13,bills_telecom
Paid Rs 3715/- to BPCL via GPay,3715.29,transport_fuel
"CARD **4657 used at AbhiBus for Rs.27,475",27474.65,travel
"CARD **4582 used at Auto Rickshaw for Rs.1,975.22",1975.22,transport_ride
Payment of Rs 809 to DishTV successful,808.92,bills_telecom
PhonePe: Rs 891/- paid to CESC,890.8,bills_electricity
Paid Rs 427.63 to Mojo Pizza via GPay,427.63,food_delivery
"CANARA CC: ABHIBUS RS 12,715",12715.45,travel
HDFC SMS: INR 864/- dbtd UPI txn to mcgmwater@okhdfcbank,863.93,bills_water
"ICICI: Rs.8,687.60 paid to Nykaa via UPI Ref 142080866",8687.6,shopping_online
"Kotak Debit: Rs 7,198 to bsesrajdhani@paytm UPI",7197.58,bills_electricity
"Axis: Rs..1,873.56 paid to Cinepolis via UPI Ref 831693296",1873.56,entertainment
ICICI SMS: INR 690.68 debited UPI txn to adobecc@ybl,690.68,subscription
"icici upi: rs 44,753.53 to indigo@paytm",44753.53,travel
Kotak: Rs..1296/- paid to Cinepolis via UPI Ref 233243500,1296.26,entertainment
Monthly salary credit INR 223336 Reliance Industries,223335.61,salary
"Payment of Rs 6,579 to DTDC successful",6578.76,other
UPI: Rs 4038/- to metrocash@axisbank for purchase,4037.9,groceries
"Paid Rs 2,866.16 to Spa via GPay",2866.16,personal_care
INDUSIND ALERT: INR 959/- SPENT AT DUNZO,959.14,transport_ride
"ICICI: Rs 3,384.99 debited from a/c **9928 for BSES Yamuna",3384.99,bills_electricity
"HDFC SMS: INR 1,116 debited UPI txn to municipalwat@kotak",1115.73,bills_water
"IndusInd: Rs 38,686.66 debited for Bajaj Auto Finance EMI",38686.66,emi
"yes bank: rs 4,882.35 debited from a/c **5012 for imps transfer",4882.35,other
SBI SMS: INR 765 debited UPI txn to zepto@axl,765.07,groceries
boAt - Rs.6753 paid via UPI,6752.98,shopping_online
"Yes Bank: Rs.13,109.75 paid to Dr Lal PathLabs via UPI Ref 798169178",13109.75,health_medical
SBI: Rs 4536/- debited for BSES Rajdhani purchase,4535.99,bills_electricity
axis sms: inr 51598/- debited upi txn to peopleperhou@icici,51598.29,freelance
SBI: Rs.1774 paid to Porter via UPI Ref 958459117,1774.21,transport_ride
Vistara - Rs.33865 paid via UPI,33864.59,travel
"BOB SMS: INR 27,144 debited UPI txn to physicswalla@paytm",27143.59,education
"PNB Debit: Rs 1,916.87 to excitel@okhdfcbank UPI",1916.87,bills_telecom
"UPI: Rs 4,485.14 to flipkartgroc@icici for purchase",4485.14,groceries
SBI Alert: INR 242/- spent at Subway,242.0,food_delivery
Paid Rs 3089 to PSPCL via GPay,3089.38,bills_electricity
"SBI Debit: Rs 4,806.07 to snapfitness@axisbank UPI",4806.07,health_fitness
"Rent transfer Rs 45,537 to landlord",45537.46,rent
"Axis Car Loan: EMI Rs 20,312 debited",20312.07,emi
Yes Bank Alert: INR 252 spent at La Pinos,251.9,food_delivery
"payment of rs 39,831 to freelancer.com successful",39831.03,freelance
Rs 5847/- debited Return gift HDFC,5846.94,gifts
"Canara Alert: INR 4,106.70 spent at Anytime Fitness",4106.7,health_fitness
Paid Rs 6360/- to Adani Electricity via GPay,6360.12,bills_electricity
CANARA SMS: INR 739 DEBITED UPI TXN TO JIOCINEMA@AXISBANK,739.48,entertainment
axis alert: inr 43145 spent at cleartrip,43145.35,travel
Payment of Rs 16514/- to Metropolis Lab successful,16514.02,health_medical
"ICICI SMS: INR 2,475.19 debited UPI txn to maxhospital@axisbank",2475.19,health_medical
"CARD **4257 used at Fortis Hospital for Rs.13,014",13014.36,health_medical
"KSEB - Rs.2,706.37 paid via UPI",2706.37,bills_electricity
HDFC SMS: INR 1742/- DEBITED UPI TXN TO CSPDCL@HDFCBANK,1742.11,bills_electricity
"indusind upi: rs 2,394.26 to weddinggift@hdfcbank",2394.26,gifts
ICICI Alert: INR 1678/- spent at Namma Yatri,1678.5,transport_ride
"Kotak: Rs 2,310 debited from a/c **4582 for Torrent Power",2310.05,bills_electricity
"Loan EMI Rs 5,722 paid to ICICI Personal Loan",5722.32,emi
Canara Alert: INR 10966 spent at SpiceJet,10966.16,travel
"Canara: Rs 4,129 debited from a/c **7873 for IndiGo",4129.36,travel
"PhonePe: Rs 1,189 paid to NEFT Transfer",1188.84,other
IndusInd Debit: Rs 4411/- to boatlifestyl@okaxis UPI,4410.51,shopping_online
Paid Rs 3384 to Shell via GPay,3384.01,transport_fuel
"IndusInd SMS: INR 3,612 debited UPI txn to msedcl@okhdfcbank",3612.02,bills_electricity
IndusInd Debit: Rs 150.99 to icloud@ybl UPI,150.99,subscription
Rs 4259/- debited Flipkart Gift IndusInd,4258.84,gifts
Payment of Rs 302 to Lucknow Jal Nigam successful,302.24,bills_water
MONTHLY RENT RS 9264/- PAID VIA UPI,9263.96,rent
Auto debit Rs 16696/- Tata Capital EMI loan account,16696.18,emi
BOB UPI: RS 419 TO BEHROUZ@HDFCBANK,418.93,food_delivery
"BOB CC: Xerox Rs 6,047",6047.29,other
Yes Bank: Rs 24980/- debited for ICICI Personal Loan EMI,24980.01,emi
SBI CC: Disney+ Hotstar Rs 900,899.69,entertainment
Paid Rs. 484 to Apple Music via GPay,483.58,subscription
"Axis: Rs. 3,343 debited from a/c **3286 for Talwalkars",3343.46,health_fitness
ICICI: Rs.169.82 paid to PVR via UPI Ref 881409059,169.82,entertainment
"Axis: Rs 1,777 debited from a/c **4811 for Nykaa",1777.12,personal_care
"RS 2,968/- DEBITED ESSAR PETROL YES BANK",2967.92,transport_fuel
"Yes Bank SMS: INR 3,168.08 debited UPI txn to essarpetrol@paytm",3168.08,transport_fuel
Yes Bank Alert: INR 1108 spent at Pune Municipal Water,1107.91,bills_water
"PhonePe: Rs 21,477 paid to Thyrocare",21477.0,health_medical
"IndusInd UPI: Rs 76,090.81 to upwork@icici",76090.81,freelance
Rs 76978/-/- debited Guru.com HDFC,76977.51,freelance
HDFC: Rs 2283/- dbtd for Flipkart Grocery purchase,2282.87,groceries
"Auto debit Rs 31,256 Mahindra Finance loan account",31256.09,emi
"ICICI Debit: Rs 2,725 to bsesyamuna@icici UPI",2724.61,bills_electricity
Canara CC: Vedantu Rs 18227/-,18226.57,education
Axis SMS: INR 131 debited UPI txn to pvr@okhdfcbank,130.52,entertainment
ICICI: Rs.9729/- paid to FabIndia via UPI Ref 749012758,9729.45,shopping_offline
sbi sms: inr 1786/- debited upi txn to sonyliv@okhdfcbank,1786.08,entertainment
"Paid Rs 72,574.03 to Fiverr via GPay",72574.03,freelance
ICICI: Rs 1076/- debited from a/c **4657 for Cult.fit,1075.77,health_fitness
"SBI: Rs 6,650 debited from a/c **7912 for ATM Withdrawal",6650.2,other
HDFC ALERT: INR 1330/- SPENT AT MCGM WATER,1330.37,bills_water
"Rs 1,462.51/- debited Adobe CC ICICI",1462.51,subscription
Salary for Jan - Rs 116200 from ICICI Bank,116200.47,salary
"Payment of Rs 6,085 to Gift card successful",6084.55,gifts
Haircut - Rs.3022/- paid via UPI,3022.34,personal_care
Paid Rs 4710 to Christmas gift via GPay,4710.3,gifts
"UPI: Rs 64,318 to contentwriti@axl for purchase",64317.82,freelance
axis: rs.166.50 paid to 1mg via upi ref 962594605,166.5,health_medical
"Mahindra Finance: EMI Rs 42,807 debited",42807.22,emi
"PhonePe: Rs 2,019.99 paid to Auto Rickshaw",2019.99,transport_ride
upi: rs 917.21 to mojopizza@hdfcbank for purchase,917.21,food_delivery
BOB: RS 25284 NEFT TO FLAT RENT,25283.76,rent
hdfc alert: inr 608 spent at amazon prime,607.8,entertainment
"Axis CC: Metropolis Lab Rs 7,455.89",7455.89,health_medical
HDFC UPI: Rs 380.96 to westside@paytm,380.96,shopping_offline
Rent transfer Rs 24222/- to landlord,24221.73,rent
INDUSIND CC: BHARAT PETROLEUM RS 637.46,637.46,transport_fuel
BOB: Rs 816.71 dbtd from a/c **7912 for Airtel Xstream,816.71,bills_telecom
Axis UPI: Rs 179 to wheelseye@ybl,179.05,transport_ride
SIP debit Rs 37172/- Mirae Asset folio,37172.33,investment
"RS 1,590/- DEBITED NYKAA HDFC",1590.05,personal_care
"Canara: Rs 243,982 credited - Salary from L&T",243981.86,salary
"BOB Alert: INR 3,923.24 spent at HealthifyMe",3923.24,health_fitness
Rs 518/- debited Amazon Prime ICICI,517.97,entertainment
Salary for Jun - Rs 184214 from Flipkart,184214.49,salary
yes bank: rs 4427/- debited for sarva yoga purchase,4427.08,health_fitness
ICICI UPI: Rs 1800 to zee5@paytm,1800.14,entertainment
HDFC: Rs 306 debited from a/c **3286 for Google One,306.19,subscription
Canara Debit: Rs 14858 to raymond@axl UPI,14857.65,shopping_offline
"SBI: RS.8,713.77 PAID TO SUGAR COSMETICS VIA UPI REF 411152157",8713.77,shopping_online
"IndusInd UPI: Rs 20,910 to udemy@okhdfcbank",20910.02,education
"Paid Rs 26,947.46 to Unacademy via GPay",26947.46,education
"UPI: Rs 1,407 to behrouz@ybl for purchase",1406.63,food_delivery
"PhonePe: Rs 1,000 paid to Microsoft 365",999.53,subscription
"Yes Bank: Rs 3,291 debited for Natures Basket purchase",3290.54,groceries
PhonePe: Rs 17668/- paid to AirAsia,17667.63,travel
"CARD **9928 used at UHBVN for Rs.6,493.59",6493.59,bills_electricity
Yes Bank Debit: Rs 15305 to vistara@hdfcbank UPI,15304.74,travel
"icici alert: inr 18,150 spent at narayana health",18150.28,health_medical
"Paid Rs 4,080.49 to Decathlon via GPay",4080.49,shopping_offline
"axis: rs 82,122 debited for content writing purchase",82121.9,freelance
UPI: RS 434/- TO HATHWAY@AXISBANK FOR PURCHASE,433.64,bills_telecom
IndusInd Credit: Rs 215267/- NEFT-HCL Tech-SALARY,215266.88,salary
"Investment: Rs 62,722 to Nippon MF via UPI",62722.17,investment
"Canara: Rs.37,213.57 paid to IRCTC via UPI Ref 632161763",37213.57,travel
kotak upi: rs 2288/- to netflix@okhdfcbank,2287.86,entertainment
"Yes Bank UPI: Rs 10,891 to cleartrip@paytm",10890.76,travel
"cash deposit - rs.3,915.65 paid via upi",3915.65,other
PNB: Rs 591 debited from a/c **9279 for BigBasket,590.97,groceries
Yes Bank Alert: INR 3911 spent at Fitness First,3910.73,health_fitness
"Rs 1,042/- debited Biryani Blues BOB",1041.83,food_delivery
CARD **4811 used at Air India for Rs.5344/-,5343.71,travel
IndusInd: Rs 319 debited for Bharat Petroleum purchase,318.59,transport_fuel
"Rs 1,452.05/- debited Jaipur Water IndusInd",1452.05,bills_water
"Yes Bank SMS: INR 11,708.20 debited UPI txn to oyo@icici",11708.2,travel
salary for feb - rs 232835/- from reliance industries,232834.84,salary
Rs 256/-/- debited BB Daily BOB,255.5,groceries
IndusInd: Rs 111/- debited from a/c **2424 for Carnival Cinemas,111.04,entertainment
Yes Bank: Rs 2432 debited from a/c **2824 for PVR,2432.16,entertainment
"ICICI Personal Loan: EMI Rs 7,756 debited",7755.92,emi
"BOB Credit: Rs 90,817.59 NEFT-Bharti Airtel-SALARY",90817.59,salary
"PG rent payment Rs 23,930 for Jul",23930.46,rent
"kotak credit: rs 76,756 neft-tata motors-salary",76755.62,salary
BOB: Rs.44188 paid to Air India via UPI Ref 323600426,44188.44,travel
"Axis CC: Zepto Rs 2,932",2931.8,groceries
BOB: Rs 9984 debited for Ajio purchase,9984.42,shopping_online
